"date","day","month","year","n_cases","n_deaths","country","geo_id","country_code","n_population_2018","n_cases_sum","dss","rsq","K","Y0","r","max_day"
"2020-02-17",17,2,2020,0,0,"Canada","CA","CAN",37058856,8,23,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-18",18,2,2020,0,0,"Canada","CA","CAN",37058856,8,24,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-19",19,2,2020,0,0,"Canada","CA","CAN",37058856,8,25,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-20",20,2,2020,0,0,"Canada","CA","CAN",37058856,8,26,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-21",21,2,2020,1,0,"Canada","CA","CAN",37058856,9,27,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-22",22,2,2020,0,0,"Canada","CA","CAN",37058856,9,28,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-23",23,2,2020,0,0,"Canada","CA","CAN",37058856,9,29,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-24",24,2,2020,0,0,"Canada","CA","CAN",37058856,9,30,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-25",25,2,2020,2,0,"Canada","CA","CAN",37058856,11,31,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-26",26,2,2020,0,0,"Canada","CA","CAN",37058856,11,32,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-27",27,2,2020,1,0,"Canada","CA","CAN",37058856,12,33,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-28",28,2,2020,2,0,"Canada","CA","CAN",37058856,14,34,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-29",29,2,2020,2,0,"Canada","CA","CAN",37058856,16,35,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-01",1,3,2020,4,0,"Canada","CA","CAN",37058856,20,36,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-02",2,3,2020,4,0,"Canada","CA","CAN",37058856,24,37,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-03",3,3,2020,3,0,"Canada","CA","CAN",37058856,27,38,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-04",4,3,2020,3,0,"Canada","CA","CAN",37058856,30,39,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-05",5,3,2020,3,0,"Canada","CA","CAN",37058856,33,40,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-06",6,3,2020,12,0,"Canada","CA","CAN",37058856,45,41,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-07",7,3,2020,6,0,"Canada","CA","CAN",37058856,51,42,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-08",8,3,2020,6,0,"Canada","CA","CAN",37058856,57,43,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
